State,State Abr.,County,City,ZipCode
Alaska,AK,Wade Hampton,Emmonak,99581
Alaska,AK,Dillingham,Ekwok,99580
Alaska,AK,Lake And Peninsula,Egegik,99579
Alaska,AK,Bethel,Eek,99578
Alaska,AK,Anchorage,Eagle River,99577
Alaska,AK,Dillingham,Dillingham,99576
Alaska,AK,Bethel,Crooked Creek,99575
Alaska,AK,Valdez Cordova,Cordova,99574
Alaska,AK,Valdez Cordova,Copper Center,99573
Alaska,AK,Kenai Peninsula,Cooper Landing,99572
Alaska,AK,Aleutians East,Cold Bay,99571
Alaska,AK,Dillingham,Clarks Point,99569
Alaska,AK,Kenai Peninsula,Clam Gulch,99568
Alaska,AK,Anchorage,Chugiak,99567
Alaska,AK,Valdez Cordova,Chitina,99566
Alaska,AK,Lake And Peninsula,Chignik Lagoon,99565
Alaska,AK,Lake And Peninsula,Chignik,99564
Alaska,AK,Wade Hampton,Chevak,99563
Alaska,AK,Bethel,Chefornak,99561
Alaska,AK,Bethel,Bethel,99559
Alaska,AK,Yukon Koyukuk,Anvik,99558
Alaska,AK,Bethel,Aniak,99557
Alaska,AK,Kenai Peninsula,Anchor Point,99556
Alaska,AK,Dillingham,Aleknagik,99555
Alaska,AK,Wade Hampton,Alakanuk,99554
Alaska,AK,Aleutians East,Akutan,99553
Alaska,AK,Bethel,Akiak,99552
Alaska,AK,Bethel,Akiachak,99551
Alaska,AK,Kodiak Island,Port Lions,99550
Alaska,AK,Lake And Peninsula,Port Heiden,99549
Alaska,AK,Lake And Peninsula,Chignik Lake,99548
Alaska,AK,Aleutians West,Atka,99547
Alaska,AK,Aleutians West,Adak,99546
Alaska,AK,Bethel,Kongiganak,99545
Alaska,AK,Anchorage,Indian,99540
Alaska,AK,Anchorage,Anchorage,99530
Alaska,AK,Anchorage,Anchorage,99529
Alaska,AK,Anchorage,Anchorage,99524
Alaska,AK,Anchorage,Anchorage,99523
Alaska,AK,Anchorage,Anchorage,99522
Alaska,AK,Anchorage,Anchorage,99521
Alaska,AK,Anchorage,Anchorage,99520
Alaska,AK,Anchorage,Anchorage,99519
Alaska,AK,Anchorage,Anchorage,99518
Alaska,AK,Anchorage,Anchorage,99517
Alaska,AK,Anchorage,Anchorage,99516
Alaska,AK,Anchorage,Anchorage,99515
Alaska,AK,Anchorage,Anchorage,99514
Alaska,AK,Anchorage,Anchorage,99513
Alaska,AK,Anchorage,Anchorage,99511
Alaska,AK,Anchorage,Anchorage,99510
Alaska,AK,Anchorage,Anchorage,99509
Alaska,AK,Anchorage,Anchorage,99508
Alaska,AK,Anchorage,Anchorage,99507
Alaska,AK,Anchorage,Jber,99506
Alaska,AK,Anchorage,Jber,99505
Alaska,AK,Anchorage,Anchorage,99504
Alaska,AK,Anchorage,Anchorage,99503
Alaska,AK,Anchorage,Anchorage,99502
Alaska,AK,Anchorage,Anchorage,99501
Washington,WA,Asotin,Clarkston,99403
Washington,WA,Asotin,Asotin,99402
Washington,WA,Asotin,Anatone,99401
Washington,WA,Adams,Washtucna,99371
Washington,WA,Walla Walla,Wallula,99363
Washington,WA,Walla Walla,Walla Walla,99362
Washington,WA,Walla Walla,Waitsburg,99361
Washington,WA,Walla Walla,Touchet,99360
Washington,WA,Columbia,Starbuck,99359
Washington,WA,Grant,Royal City,99357
Washington,WA,Klickitat,Roosevelt,99356
Washington,WA,Benton,Richland,99354
Washington,WA,Benton,West Richland,99353
Washington,WA,Benton,Richland,99352
Washington,WA,Benton,Prosser,99350
Washington,WA,Grant,Mattawa,99349
Washington,WA,Walla Walla,Prescott,99348
Washington,WA,Garfield,Pomeroy,99347
Washington,WA,Benton,Plymouth,99346
Washington,WA,Benton,Paterson,99345
Washington,WA,Adams,Othello,99344
Washington,WA,Franklin,Mesa,99343
Washington,WA,Adams,Lind,99341
Washington,WA,Benton,Kennewick,99338
Washington,WA,Benton,Kennewick,99337
Washington,WA,Benton,Kennewick,99336
Washington,WA,Franklin,Kahlotus,99335
Washington,WA,Whitman,Hooper,99333
Washington,WA,Franklin,Eltopia,99330
Washington,WA,Walla Walla,Dixie,99329
Washington,WA,Columbia,Dayton,99328
Washington,WA,Franklin,Connell,99326
Washington,WA,Walla Walla,College Place,99324
Washington,WA,Walla Walla,Burbank,99323
Washington,WA,Klickitat,Bickleton,99322
Washington,WA,Grant,Beverly,99321
Washington,WA,Benton,Benton City,99320
Washington,WA,Franklin,Pasco,99302
Washington,WA,Franklin,Pasco,99301
Washington,WA,Spokane,Spokane,99299
Washington,WA,Spokane,Spokane,99260
Washington,WA,Spokane,Spokane,99258
Washington,WA,Spokane,Spokane,99256
Washington,WA,Spokane,Spokane,99252
Washington,WA,Spokane,Spokane,99251
Washington,WA,Spokane,Spokane,99228
Washington,WA,Spokane,Spokane,99224
Washington,WA,Spokane,Spokane,99223
Washington,WA,Spokane,Spokane,99220
Washington,WA,Spokane,Spokane,99219
Washington,WA,Spokane,Spokane,99218
Washington,WA,Spokane,Spokane,99217
Washington,WA,Spokane,Spokane,99216
Washington,WA,Spokane,Spokane,99215
Washington,WA,Spokane,Spokane,99214
Washington,WA,Spokane,Spokane,99213
Washington,WA,Spokane,Spokane,99212
Washington,WA,Spokane,Spokane,99211
Washington,WA,Spokane,Spokane,99210
Washington,WA,Spokane,Spokane,99209
Washington,WA,Spokane,Spokane,99208
Washington,WA,Spokane,Spokane,99207
Washington,WA,Spokane,Spokane,99206
Washington,WA,Spokane,Spokane,99205
Washington,WA,Spokane,Spokane,99204
Washington,WA,Spokane,Spokane,99203
Washington,WA,Spokane,Spokane,99202
Washington,WA,Spokane,Spokane,99201
Washington,WA,Lincoln,Wilbur,99185
Washington,WA,Stevens,Valley,99181
Washington,WA,Pend Oreille,Usk,99180
Washington,WA,Whitman,Uniontown,99179
Washington,WA,Whitman,Thornton,99176
Washington,WA,Whitman,Steptoe,99174
Washington,WA,Stevens,Springdale,99173
Washington,WA,Whitman,Saint John,99171
Washington,WA,Whitman,Rosalia,99170
Washington,WA,Adams,Ritzville,99169
Washington,WA,Stevens,Rice,99167
Washington,WA,Ferry,Republic,99166
Washington,WA,Whitman,Pullman,99164
Washington,WA,Whitman,Pullman,99163
Washington,WA,Whitman,Palouse,99161
Washington,WA,Ferry,Orient,99160
Washington,WA,Lincoln,Odessa,99159
Washington,WA,Whitman,Oakesdale,99158
Washington,WA,Stevens,Northport,99157
Washington,WA,Pend Oreille,Newport,99156
Washington,WA,Okanogan,Nespelem,99155
Washington,WA,Lincoln,Mohler,99154
Washington,WA,Pend Oreille,Metaline Falls,99153
Washington,WA,Pend Oreille,Metaline,99152
Washington,WA,Stevens,Marcus,99151
Washington,WA,Ferry,Malo,99150
Washington,WA,Whitman,Malden,99149
Washington,WA,Stevens,Loon Lake,99148
Washington,WA,Lincoln,Lincoln,99147
Washington,WA,Ferry,Laurier,99146
Washington,WA,Lincoln,Lamona,99144
Washington,WA,Whitman,Lacrosse,99143
Washington,WA,Stevens,Kettle Falls,99141
Washington,WA,Ferry,Keller,99140
Washington,WA,Pend Oreille,Ione,99139
Washington,WA,Ferry,Inchelium,99138
Washington,WA,Stevens,Hunters,99137
Washington,WA,Whitman,Hay,99136
Washington,WA,Grant,Hartline,99135
Washington,WA,Lincoln,Harrington,99134
Washington,WA,Grant,Grand Coulee,99133
Washington,WA,Stevens,Gifford,99131
Washington,WA,Whitman,Garfield,99130
Washington,WA,Stevens,Fruitland,99129
Washington,WA,Whitman,Farmington,99128
Washington,WA,Stevens,Evans,99126
Washington,WA,Whitman,Endicott,99125
Washington,WA,Okanogan,Elmer City,99124
Washington,WA,Grant,Electric City,99123
Washington,WA,Lincoln,Davenport,99122
Washington,WA,Ferry,Danville,99121
Washington,WA,Pend Oreille,Cusick,99119
Washington,WA,Ferry,Curlew,99118
Washington,WA,Lincoln,Creston,99117
Washington,WA,Okanogan,Coulee Dam,99116
Washington,WA,Grant,Coulee City,99115
Washington,WA,Stevens,Colville,99114
Washington,WA,Whitman,Colton,99113
Washington,WA,Whitman,Colfax,99111
Washington,WA,Stevens,Clayton,99110
Washington,WA,Stevens,Chewelah,99109
Washington,WA,Ferry,Boyds,99107
Washington,WA,Adams,Benge,99105
Washington,WA,Whitman,Belmont,99104
Washington,WA,Lincoln,Almira,99103
Washington,WA,Whitman,Albion,99102
Washington,WA,Stevens,Addy,99101
Washington,WA,Stevens,Wellpinit,99040
Washington,WA,Spokane,Waverly,99039
Washington,WA,Spokane,Veradale,99037
Washington,WA,Spokane,Valleyford,99036
Washington,WA,Stevens,Tumtum,99034
Washington,WA,Whitman,Tekoa,99033
Washington,WA,Lincoln,Sprague,99032
Washington,WA,Spokane,Spangle,99031
Washington,WA,Spokane,Rockford,99030
Washington,WA,Lincoln,Reardan,99029
Washington,WA,Spokane,Otis Orchards,99027
Washington,WA,Spokane,Nine Mile Falls,99026
Washington,WA,Spokane,Newman Lake,99025
Washington,WA,Spokane,Mica,99023
Washington,WA,Spokane,Medical Lake,99022
Washington,WA,Spokane,Mead,99021
Washington,WA,Spokane,Marshall,99020
Washington,WA,Spokane,Liberty Lake,99019
Washington,WA,Spokane,Latah,99018
Washington,WA,Whitman,Lamont,99017
Washington,WA,Spokane,Greenacres,99016
Washington,WA,Spokane,Four Lakes,99014
Washington,WA,Stevens,Ford,99013
Washington,WA,Spokane,Fairfield,99012
Washington,WA,Spokane,Fairchild Air Force Base,99011
Washington,WA,Spokane,Elk,99009
Washington,WA,Lincoln,Edwall,99008
Washington,WA,Spokane,Deer Park,99006
Washington,WA,Spokane,Colbert,99005
Washington,WA,Spokane,Cheney,99004
Washington,WA,Spokane,Chattaroy,99003
Washington,WA,Spokane,Airway Heights,99001
Washington,WA,Yakima,Zillah,98953
Washington,WA,Yakima,White Swan,98952
Washington,WA,Yakima,Wapato,98951
Washington,WA,Kittitas,Vantage,98950
Washington,WA,Yakima,Toppenish,98948
Washington,WA,Yakima,Tieton,98947
Washington,WA,Kittitas,Thorp,98946
Washington,WA,Yakima,Sunnyside,98944
Washington,WA,Kittitas,South Cle Elum,98943
Washington,WA,Yakima,Selah,98942
Washington,WA,Kittitas,Roslyn,98941
Washington,WA,Kittitas,Ronald,98940
Washington,WA,Yakima,Parker,98939
Washington,WA,Yakima,Outlook,98938
Washington,WA,Yakima,Naches,98937
Washington,WA,Yakima,Moxee,98936
Washington,WA,Yakima,Mabton,98935
Washington,WA,Kittitas,Kittitas,98934
Washington,WA,Yakima,Harrah,98933
Washington,WA,Yakima,Granger,98932
Washington,WA,Yakima,Grandview,98930
Washington,WA,Kittitas,Ellensburg,98926
Washington,WA,Kittitas,Easton,98925
Washington,WA,Yakima,Cowiche,98923
Washington,WA,Kittitas,Cle Elum,98922
Washington,WA,Yakima,Buena,98921
Washington,WA,Yakima,Brownstown,98920
Washington,WA,Yakima,Yakima,98909
Washington,WA,Yakima,Yakima,98908
Washington,WA,Yakima,Yakima,98907
Washington,WA,Yakima,Yakima,98904
Washington,WA,Yakima,Yakima,98903
Washington,WA,Yakima,Yakima,98902
Washington,WA,Yakima,Yakima,98901
Washington,WA,Okanogan,Winthrop,98862
Washington,WA,Grant,Wilson Creek,98860
Washington,WA,Okanogan,Wauconda,98859
Washington,WA,Douglas,Waterville,98858
Washington,WA,Grant,Warden,98857
Washington,WA,Okanogan,Twisp,98856
Washington,WA,Okanogan,Tonasket,98855
Washington,WA,Grant,Stratford,98853
Washington,WA,Chelan,Stehekin,98852
Washington,WA,Grant,Soap Lake,98851
Washington,WA,Douglas,Rock Island,98850
Washington,WA,Okanogan,Riverside,98849
Washington,WA,Grant,Quincy,98848
Washington,WA,Chelan,Peshastin,98847
Washington,WA,Okanogan,Pateros,98846
Washington,WA,Douglas,Palisades,98845
Washington,WA,Okanogan,Oroville,98844
Washington,WA,Douglas,Orondo,98843
Washington,WA,Okanogan,Omak,98841
Washington,WA,Okanogan,Okanogan,98840
Washington,WA,Grant,Moses Lake,98837
Washington,WA,Chelan,Monitor,98836
Washington,WA,Okanogan,Methow,98834
Washington,WA,Okanogan,Mazama,98833
Washington,WA,Grant,Marlin,98832
Washington,WA,Chelan,Manson,98831
Washington,WA,Douglas,Mansfield,98830
Washington,WA,Okanogan,Malott,98829
Washington,WA,Chelan,Malaga,98828
Washington,WA,Okanogan,Loomis,98827
Washington,WA,Chelan,Leavenworth,98826
Washington,WA,Grant,George,98824
Washington,WA,Grant,Ephrata,98823
Washington,WA,Chelan,Entiat,98822
Washington,WA,Chelan,Dryden,98821
Washington,WA,Okanogan,Conconully,98819
Washington,WA,Chelan,Chelan Falls,98817
Washington,WA,Chelan,Chelan,98816
Washington,WA,Chelan,Cashmere,98815
Washington,WA,Okanogan,Carlton,98814
Washington,WA,Douglas,Bridgeport,98813
Washington,WA,Okanogan,Brewster,98812
Washington,WA,Chelan,Ardenvoir,98811
Washington,WA,Chelan,Wenatchee,98807
Washington,WA,Douglas,East Wenatchee,98802
Washington,WA,Chelan,Wenatchee,98801
Washington,WA,Clark,Vancouver,98687
Washington,WA,Clark,Vancouver,98686
Washington,WA,Clark,Vancouver,98685
Washington,WA,Clark,Vancouver,98684
Washington,WA,Clark,Vancouver,98683
Washington,WA,Clark,Vancouver,98682
Washington,WA,Clark,Yacolt,98675
Washington,WA,Cowlitz,Woodland,98674
Washington,WA,Klickitat,Wishram,98673
Washington,WA,Klickitat,White Salmon,98672
Washington,WA,Clark,Washougal,98671
Washington,WA,Klickitat,Wahkiacus,98670
Washington,WA,Clark,Vancouver,98668
Washington,WA,Clark,Vancouver,98666
Washington,WA,Clark,Vancouver,98665
Washington,WA,Clark,Vancouver,98664
Washington,WA,Clark,Vancouver,98663
Washington,WA,Clark,Vancouver,98662
Washington,WA,Clark,Vancouver,98661
Washington,WA,Clark,Vancouver,98660
Washington,WA,Skamania,Underwood,98651
Washington,WA,Klickitat,Trout Lake,98650
Washington,WA,Cowlitz,Toutle,98649
Washington,WA,Skamania,Stevenson,98648
Washington,WA,Wahkiakum,Skamokawa,98647
Washington,WA,Cowlitz,Silverlake,98645
Washington,WA,Pacific,Seaview,98644
Washington,WA,Wahkiakum,Rosburg,98643
Washington,WA,Clark,Ridgefield,98642
Washington,WA,Pacific,Oysterville,98641
Washington,WA,Pacific,Ocean Park,98640
Washington,WA,Skamania,North Bonneville,98639
Washington,WA,Pacific,Naselle,98638
Washington,WA,Pacific,Nahcotta,98637
Washington,WA,Klickitat,Lyle,98635
Washington,WA,Cowlitz,Longview,98632
Washington,WA,Pacific,Long Beach,98631
Washington,WA,Clark,La Center,98629
Washington,WA,Klickitat,Klickitat,98628
Washington,WA,Cowlitz,Kelso,98626
Washington,WA,Cowlitz,Kalama,98625
Washington,WA,Pacific,Ilwaco,98624
Washington,WA,Klickitat,Husum,98623
Washington,WA,Clark,Heisson,98622
Washington,WA,Wahkiakum,Grays River,98621
Washington,WA,Klickitat,Goldendale,98620
Washington,WA,Klickitat,Glenwood,98619
Washington,WA,Klickitat,Dallesport,98617
Washington,WA,Cowlitz,Cougar,98616
Washington,WA,Pacific,Chinook,98614
Washington,WA,Klickitat,Centerville,98613
Washington,WA,Wahkiakum,Cathlamet,98612
Washington,WA,Cowlitz,Castle Rock,98611
Washington,WA,Skamania,Carson,98610
Washington,WA,Cowlitz,Carrolls,98609
Washington,WA,Clark,Camas,98607
Washington,WA,Clark,Brush Prairie,98606
Washington,WA,Klickitat,Bingen,98605
Washington,WA,Clark,Battle Ground,98604
Washington,WA,Cowlitz,Ariel,98603
Washington,WA,Klickitat,Appleton,98602
Washington,WA,Clark,Amboy,98601
Washington,WA,Thurston,Olympia,98599
Washington,WA,Thurston,Yelm,98597
Washington,WA,Lewis,Winlock,98596
Washington,WA,Grays Harbor,Westport,98595
Washington,WA,Lewis,Vader,98593
Washington,WA,Mason,Union,98592
Washington,WA,Lewis,Toledo,98591
Washington,WA,Pacific,Tokeland,98590
Washington,WA,Thurston,Tenino,98589
Washington,WA,Mason,Tahuya,98588
Washington,WA,Grays Harbor,Taholah,98587
Washington,WA,Pacific,South Bend,98586
Washington,WA,Lewis,Silver Creek,98585
Washington,WA,Mason,Shelton,98584
Washington,WA,Grays Harbor,Satsop,98583
Washington,WA,Lewis,Salkum,98582
Washington,WA,Cowlitz,Ryderwood,98581
Washington,WA,Pierce,Roy,98580
Washington,WA,Thurston,Rochester,98579
Washington,WA,Pacific,Raymond,98577
Washington,WA,Thurston,Rainier,98576
Washington,WA,Grays Harbor,Quinault,98575
Washington,WA,Lewis,Pe Ell,98572
Washington,WA,Grays Harbor,Pacific Beach,98571
Washington,WA,Lewis,Onalaska,98570
Washington,WA,Grays Harbor,Ocean Shores,98569
Washington,WA,Grays Harbor,Oakville,98568
Washington,WA,Grays Harbor,Neilton,98566
Washington,WA,Lewis,Napavine,98565
Washington,WA,Lewis,Mossyrock,98564
Washington,WA,Grays Harbor,Montesano,98563
Washington,WA,Grays Harbor,Moclips,98562
Washington,WA,Pacific,Menlo,98561
Washington,WA,Mason,Matlock,98560
